giuliani recalled that trump initially called it a muslim ban,Democratic
{correction in mondays new york newsday a photo of trump plaza was erroneously used to illustrate a chart on trump tower apartment sales,Democratic
``i bought {the stock} as something i considered a good investment and i was right said trump,Democratic
1 state authorities sign off on 40 year lease with trump,Democratic
10 12 clinton leads by 4 points in north carolina trump ahead by 1 point in ohio nc,Republican
10 verdict trump suggested that tyson be given a suspended sentence in exchange for contributing to a fund for rape victims and a cash payment to his victim desiree washington,Democratic
11 and they have invited donald and ivana trump,Democratic
14 16 ted cruz overtakes donald trump in latest republican presidential poll partial results,Republican
16 he has turned a overbearing bully like chris christie into a cabin boy and errand runner and has made christies expressions as he watches trump speaking much more interesting than christies actual candidacy,Democratic
17 on behalf of fred trump 85 bought the chips and then walked out with a police escort,Democratic
2 file photo trump plaza in west palm beach the empire continues to shrink,Democratic
2 is we were seeing a different enthusiasm level for trump voters versus pro clinton voters,Republican
2 newsday file photo then some might fear the late ed sullivan has a really big shew to fill not apparently trump,Democratic
2 newsday photo by susan farley atlantic city trump honcho edward tracy at press conference at trump taj mahal,Democratic
22 trump missed a 271 million payment to marine midland bank which had lent him 60 million in 1986 to buy the west palm beach complex,Democratic
28 to oppose the project said the process was starting to have the ring of deja vu but he added now we have donald trump involved and of course that changes a great deal,Democratic
3 donald trump,Democratic
3 newsday photo by john paraskevas this quote from donald trump stands guard at the site of his proposed television city complex on manhattans west side,Democratic
37 ways trump has remade the rules for business,Republican
4 better days trump signs his book,Democratic
4 newsday color cover file photo donald trump,Democratic
4 president elect donald trump during his press conference talk about everything from the mexicans paying for the wall to russias hacking at trump tower in new york city wednesday jan,Democratic
5 1985 trump was named stadium developer,Democratic
5 bally sued trump in an attempt to repel a hostile takeover bid,Democratic
5 newsday cover color photo by donna dietrich donald trump,Democratic
5 trump tweeted that the dow jumped 1000 points in last 5 weeks,Democratic
6 trump princess a 282 foot yacht trump bought for 30 million from adnan khashoggi,Democratic
6 wsjnbcmarist hillary clinton leads donald trump in two battleground states florida results pennsylvania,Republican
7 in which trump bragged about his ability to grope and kiss women without permission,Democratic
7 spencer plattgetty images a donald trump 12 inch talking doll,Democratic
9 file photo donald trump,Democratic
a bigger threat is said to be donald trump who is working behind the scenes to get tyson bruno into his place early next year,Democratic
a campaign with a superior voting operation can make a difference and right now donald trump has shown little sign of organization williams said,Democratic
a committee representing a majority of investors owning the largest part of trump hotels debt or 13 billion of so called trump atlantic city notes agreed to the transaction the company said,Democratic
a day after north koreas kim jong un said his country is closer to testing an intercontinental ballistic missile trump laid down a warning on twitter,Democratic
a day after trump asserted in a flurry of tweets that obama whom he criticized as a bad or sick guy wiretapped him during the campaign white house aides had not substantiated the claim and suggested instead that congress should find evidence,Democratic
a frustrated american business community in china is increasingly lining up behind the trump administrations strident calls for a tit for tat approach with beijing on trade and investment,Republican
a house in north carolina that trump contends is blackmers primary residence finkelstein said was not habitable for years and was heavily damaged in a fire in late 1984,Democratic
a lawsuit filed thursday by a washington wine bar targets president donald trumps lease with the federal government to rent the old post office downtown with the aim of forcing him to divest himself from the trump international hotel operating in the historic building,Republican
a letter called absolutely disgraceful a cartoon that depicted president donald trump celebrating a booming mortuary business in puerto rico,Democratic
a male trump supporter took a blow to the head that left him bleeding,Democratic
a may 2 public policy polling release showed that in the swing state of ohio donald trump would garner 15 percent of the african american vote vs,Republican
a method to trump attacks the gop front runner personally plots and improvises his barbs policy proclamations,Republican
a new cnnorc poll reflected republican divisions over trump 51% say the party should go ahead and nominate him while 48% would prefer someone else,Democratic
a new poll by the economist and yougov showed that 35% of trump voters hold a favorable view of mr,Republican
a president trump would not be involved in the business said trump organization general counsel alan garten,Republican
a propaganda website for north korea that he controls called trump a prescient presidential candidate and a wise politican open to negotiation versus thick headed hillary who wanted to apply sanctions,Democratic
a prospective job at the department of homeland security didnt pan out for former milwaukee county sheriff david clarke a trump supporter with a penchant for authoritarian sounding rhetoric,Democratic
a request for comment from the trump organization wasnt immediately returned,Republican
a rising gop stars dilemma should she back trump for new york assemblywoman malliotakis and some other republicans its damned if you back trump damned if you dont,Republican
a sample of what youll hear when trump or clinton loses,Democratic
a sign that said go trump was also left at the park,Democratic
a slightly larger share of trump backers says the same about their vote for the republican candidate,Republican
a source close to the negotiations said trump had offered ge the sole corporate tenancy in the worlds tallest building a chance to call the proposed skyscraper the ge tower and its use as world headquarters and corporate symbol,Democratic
a spokesman for john kasich meanwhile notes that rubio has the same number of second place finishes as governor kasich despite spending at least 45 million more kasich finished second in new hampshire fifth in south carolina another tie with rubio and eighth in iowa behind cruz trump rubio ben carson and ex candidates rand paul jeb bush and carly fiorina,Republican
a spokesman for the real estate magnate said yesterday trump was flattered by the invitation and was still thinking about whether or not hell do it as for changing political parties the spokesman who asked to remain unidentified said i dont think so but you never know koch also said in the television interview that he believes mario cuomo will run for president,Democratic
a spokeswoman for the trump campaign didnt respond to a request for comment,Republican
a spokeswoman for the trump campaign didnt return a request for comment,Republican
a top fbi agent and an fbi lawyer who were involved in the investigation into hillary clintons email arrangement and the probe into russian electoral meddling exchanged texts disparaging then candidate donald trump including calling him an idiot and a menace according to copies of the messages the justice department provided congress,Republican
a trump administration could appoint regulators who want to tear them down,Republican
a veteran securities analyst after saying that a winter dropoff in tourism will hurt the taj mahal found himself out of a job after trump threatened earlier this year to sue his employer janney montgomery scott inc,Democratic
a year ago a trump victory seemed more unlikely even than a le pen victory said charles lichfield an analyst at political risk consulting firm eurasia group,Republican
abortion will be a key issue in the hearings as both sides ask is kavanaugh the anti abortion nominee that president donald trump promised to appoint,Democratic
